"","Strain","Mice_ID","Delivery_Date","Shipment","Birth_date","Experiment_date","3_Weeks_lag","Age_min_sd","Age_max_sd","Age","Treatment","Sample","Group"
"1-BXD45-1","BXD45","1-BXD45-1","05.12.2019",1,"22.10.2019","mardi, 21 janvier 2020","26.12.2019","14.01.2020","03.02.2020",13,"SD","001","BXD45_SD"
"1-BXD45-2","BXD45","1-BXD45-2","05.12.2019",1,"22.10.2019","lundi, 20 janvier 2020","26.12.2019","14.01.2020","03.02.2020",12.85714286,"CTRL","002","BXD45_CTRL"
"1-BXD51-3","BXD51","1-BXD51-3","05.12.2019",1,"24.09.2019","vendredi, 27 décembre 2019","26.12.2019","17.12.2019","06.01.2020",13.42857143,"SD","003","BXD51_SD"
"1-BXD51-4","BXD51","1-BXD51-4","05.12.2019",1,"24.09.2019","jeudi, 26 décembre 2019","26.12.2019","17.12.2019","06.01.2020",13.28571429,"CTRL","004","BXD51_CTRL"
"1-BXD55-5","BXD55","1-BXD55-5","05.12.2019",1,"15.10.2019","mardi, 7 janvier 2020","26.12.2019","07.01.2020","27.01.2020",12,"SD","005","BXD55_SD"
"1-BXD55-6","BXD55","1-BXD55-6","05.12.2019",1,"15.10.2019","lundi, 6 janvier 2020","26.12.2019","07.01.2020","27.01.2020",11.85714286,"CTRL","006","BXD55_CTRL"
"1-BXD56-7","BXD56","1-BXD56-7","05.12.2019",1,"24.09.2019","vendredi, 27 décembre 2019","26.12.2019","17.12.2019","06.01.2020",13.42857143,"SD","007","BXD56_SD"
"1-BXD56-8","BXD56","1-BXD56-8","05.12.2019",1,"24.09.2019","jeudi, 26 décembre 2019","26.12.2019","17.12.2019","06.01.2020",13.28571429,"CTRL","008","BXD56_CTRL"
"1-BXD61-9","BXD61","1-BXD61-9","05.12.2019",1,"22.10.2019","mardi, 14 janvier 2020","26.12.2019","14.01.2020","03.02.2020",12,"SD","009","BXD61_SD"
"1-BXD61-10","BXD61","1-BXD61-10","05.12.2019",1,"22.10.2019","lundi, 13 janvier 2020","26.12.2019","14.01.2020","03.02.2020",11.85714286,"CTRL","010","BXD61_CTRL"
"1-BXD66-11","BXD66","1-BXD66-11","05.12.2019",1,"24.09.2019","vendredi, 27 décembre 2019","26.12.2019","17.12.2019","06.01.2020",13.42857143,"SD","011","BXD66_SD"
"1-BXD66-12","BXD66","1-BXD66-12","05.12.2019",1,"24.09.2019","jeudi, 26 décembre 2019","26.12.2019","17.12.2019","06.01.2020",13.28571429,"CTRL","012","BXD66_CTRL"
"1-BXD67-13","BXD67","1-BXD67-13","05.12.2019",1,"08.10.2019","mardi, 7 janvier 2020","26.12.2019","31.12.2019","20.01.2020",13,"SD","013","BXD67_SD"
"1-BXD67-14","BXD67","1-BXD67-14","05.12.2019",1,"08.10.2019","lundi, 6 janvier 2020","26.12.2019","31.12.2019","20.01.2020",12.85714286,"CTRL","014","BXD67_CTRL"
"1-BXD70-15","BXD70","1-BXD70-15","05.12.2019",1,"15.10.2019","mardi, 14 janvier 2020","26.12.2019","07.01.2020","27.01.2020",13,"SD","015","BXD70_SD"
"1-BXD70-16","BXD70","1-BXD70-16","05.12.2019",1,"15.10.2019","lundi, 13 janvier 2020","26.12.2019","07.01.2020","27.01.2020",12.85714286,"CTRL","016","BXD70_CTRL"
"1-BXD73-17","BXD73","1-BXD73-17","05.12.2019",1,"24.09.2019","vendredi, 27 décembre 2019","26.12.2019","17.12.2019","06.01.2020",13.42857143,"SD","017","BXD73_SD"
"1-BXD73-18","BXD73","1-BXD73-18","05.12.2019",1,"24.09.2019","jeudi, 26 décembre 2019","26.12.2019","17.12.2019","06.01.2020",13.28571429,"CTRL","018","BXD73_CTRL"
"1-BXD75-19","BXD75","1-BXD75-19","05.12.2019",1,"24.09.2019","vendredi, 27 décembre 2019","26.12.2019","17.12.2019","06.01.2020",13.42857143,"SD","019","BXD75_SD"
"1-BXD75-20","BXD75","1-BXD75-20","05.12.2019",1,"24.09.2019","jeudi, 26 décembre 2019","26.12.2019","17.12.2019","06.01.2020",13.28571429,"CTRL","020","BXD75_CTRL"
"1-BXD83-21","BXD83","1-BXD83-21","05.12.2019",1,"15.10.2019","mardi, 14 janvier 2020","26.12.2019","07.01.2020","27.01.2020",13,"SD","021","BXD83_SD"
"1-BXD83-22","BXD83","1-BXD83-22","05.12.2019",1,"15.10.2019","lundi, 13 janvier 2020","26.12.2019","07.01.2020","27.01.2020",12.85714286,"CTRL","022","BXD83_CTRL"
"1-BXD84-23","BXD84","1-BXD84-23","05.12.2019",1,"24.09.2019","vendredi, 27 décembre 2019","26.12.2019","17.12.2019","06.01.2020",13.42857143,"SD","023","BXD84_SD"
"1-BXD84-24","BXD84","1-BXD84-24","05.12.2019",1,"24.09.2019","jeudi, 26 décembre 2019","26.12.2019","17.12.2019","06.01.2020",13.28571429,"CTRL","024","BXD84_CTRL"
"1-BXD89-25","BXD89","1-BXD89-25","05.12.2019",1,"08.10.2019","mardi, 7 janvier 2020","26.12.2019","31.12.2019","20.01.2020",13,"SD","025","BXD89_SD"
"1-BXD89-26","BXD89","1-BXD89-26","05.12.2019",1,"08.10.2019","lundi, 6 janvier 2020","26.12.2019","31.12.2019","20.01.2020",12.85714286,"CTRL","026","BXD89_CTRL"
"1-BXD65a-27","65a","1-BXD65a-27","05.12.2019",1,"15.10.2019","mardi, 14 janvier 2020","26.12.2019","07.01.2020","27.01.2020",13,"SD","027","65a_SD"
"1-BXD65a-28","65a","1-BXD65a-28","05.12.2019",1,"15.10.2019","lundi, 13 janvier 2020","26.12.2019","07.01.2020","27.01.2020",12.85714286,"CTRL","028","65a_CTRL"
"1-BXD100-29","BXD100","1-BXD100-29","05.12.2019",1,"08.10.2019","mardi, 14 janvier 2020","26.12.2019","31.12.2019","20.01.2020",14,"SD","029","BXD100_SD"
"1-BXD100-30","BXD100","1-BXD100-30","05.12.2019",1,"08.10.2019","lundi, 13 janvier 2020","26.12.2019","31.12.2019","20.01.2020",13.85714286,"CTRL","030","BXD100_CTRL"
"1-BXD101-31","BXD101","1-BXD101-31","05.12.2019",1,"20.09.2019","vendredi, 27 décembre 2019","26.12.2019","13.12.2019","02.01.2020",14,"SD","031","BXD101_SD"
"1-BXD101-32","BXD101","1-BXD101-32","05.12.2019",1,"20.09.2019","jeudi, 26 décembre 2019","26.12.2019","13.12.2019","02.01.2020",13.85714286,"CTRL","032","BXD101_CTRL"
"1-C57Bl6-33","C57Bl6","1-C57Bl6-33","05.12.2019",1,"08.10.2019","mardi, 7 janvier 2020","26.12.2019","31.12.2019","20.01.2020",13,"SD","033","C57Bl6_SD"
"1-C57Bl6-34","C57Bl6","1-C57Bl6-34","05.12.2019",1,"08.10.2019","lundi, 6 janvier 2020","26.12.2019","31.12.2019","20.01.2020",12.85714286,"CTRL","034","C57Bl6_CTRL"
"1-DBA-35","DBA","1-DBA-35","05.12.2019",1,"08.10.2019","mardi, 7 janvier 2020","26.12.2019","31.12.2019","20.01.2020",13,"SD","035","DBA_SD"
"1-DBA-36","DBA","1-DBA-36","05.12.2019",1,"08.10.2019","lundi, 6 janvier 2020","26.12.2019","31.12.2019","20.01.2020",12.85714286,"CTRL","036","DBA_CTRL"
"2-BXD48-37","BXD48","2-BXD48-37","12.12.2019",2,"22.10.2019","mardi, 28 janvier 2020","02.01.2020","14.01.2020","03.02.2020",14,"SD","037","BXD48_SD"
"2-BXD48-38","BXD48","2-BXD48-38","12.12.2019",2,"22.10.2019","lundi, 27 janvier 2020","02.01.2020","14.01.2020","03.02.2020",13.85714286,"CTRL","038","BXD48_CTRL"
"2-BXD49-39","BXD49","2-BXD49-39","12.12.2019",2,"15.10.2019","mardi, 14 janvier 2020","02.01.2020","07.01.2020","27.01.2020",13,"SD","039","BXD49_SD"
"2-BXD49-40","BXD49","2-BXD49-40","12.12.2019",2,"15.10.2019","lundi, 13 janvier 2020","02.01.2020","07.01.2020","27.01.2020",12.85714286,"CTRL","040","BXD49_CTRL"
"2-BXD50-41","BXD50","2-BXD50-41","12.12.2019",2,"22.10.2019","mardi, 28 janvier 2020","02.01.2020","14.01.2020","03.02.2020",14,"SD","041","BXD50_SD"
