"","SampleName","SampleShortName","RIN","Ratio260280","Ratio260230","Strain","Treatment","Genotype","Sleep","Group"
"NRF_01","9280_CT_SD","NRF_01",8.9,2,1.91,"CT","Tamoxifen","Cre_CTRL","SD","CT_SD"
"NRF_02","9347_FV_SD","NRF_02",8.8,2.08,2.08,"FV","Vehicle","Nrf1_Flox","SD","FV_SD"
"NRF_03","9348_FT_SD","NRF_03",9,2.06,1.9,"FT","Tamoxifen","Nrf1_Flox","SD","FT_SD"
"NRF_04","9243_FV_NSD","NRF_04",9,2.04,1.82,"FV","Vehicle","Nrf1_Flox","CTRL","FV_NSD"
"NRF_05","9268_CT_NSD","NRF_05",8.9,2.09,2.03,"CT","Tamoxifen","Cre_CTRL","CTRL","CT_NSD"
"NRF_06","9279_CT_NSD","NRF_06",9,2.12,2.13,"CT","Tamoxifen","Cre_CTRL","CTRL","CT_NSD"
"NRF_07","9244_FT_NSD","NRF_07",8.9,1.98,1.77,"FT","Tamoxifen","Nrf1_Flox","CTRL","FT_NSD"
"NRF_08","9844_FT_SD","NRF_08",8.9,2.11,2.16,"FT","Tamoxifen","Nrf1_Flox","SD","FT_SD"
"NRF_09","9726_FT_NSD","NRF_09",8.8,2.09,2.11,"FT","Tamoxifen","Nrf1_Flox","CTRL","FT_NSD"
"NRF_10","9661_FV_NSD","NRF_10",8.7,2.09,2.23,"FV","Vehicle","Nrf1_Flox","CTRL","FV_NSD"
"NRF_11","9673_FV_SD","NRF_11",9.2,2.11,2.07,"FV","Vehicle","Nrf1_Flox","SD","FV_SD"
"NRF_12","9517_CT_SD","NRF_12",8.8,2.05,2.17,"CT","Tamoxifen","Cre_CTRL","SD","CT_SD"
"NRF_13","9515_CT_SD","NRF_13",8.7,2.04,1.96,"CT","Tamoxifen","Cre_CTRL","SD","CT_SD"
"NRF_14","9516_CT_NSD","NRF_14",8.7,2.04,2.13,"CT","Tamoxifen","Cre_CTRL","CTRL","CT_NSD"
"NRF_15","9518_CT_NSD","NRF_15",8.9,2.06,2.12,"CT","Tamoxifen","Cre_CTRL","CTRL","CT_NSD"
"NRF_16","9984_CT_SD","NRF_16",8.8,2.03,1.75,"CT","Tamoxifen","Cre_CTRL","SD","CT_SD"
"NRF_17","10081_CT_NSD","NRF_17",8.8,2.06,1.87,"CT","Tamoxifen","Cre_CTRL","CTRL","CT_NSD"
"NRF_18","10049_FT_NSD","NRF_18",8.8,2.06,2.04,"FT","Tamoxifen","Nrf1_Flox","CTRL","FT_NSD"
"NRF_19","9993_FT_NSD","NRF_19",9,2.08,1.68,"FT","Tamoxifen","Nrf1_Flox","CTRL","FT_NSD"
"NRF_20","10048_FT_SD","NRF_20",8.7,2.05,2.13,"FT","Tamoxifen","Nrf1_Flox","SD","FT_SD"
"NRF_21","10089_FV_NSD","NRF_21",8.3,2.08,2.17,"FV","Vehicle","Nrf1_Flox","CTRL","FV_NSD"
"NRF_22","10092_FV_NSD","NRF_22",8.8,2.1,1.97,"FV","Vehicle","Nrf1_Flox","CTRL","FV_NSD"
"NRF_23","10050_FV_SD","NRF_23",8.8,2.11,1.83,"FV","Vehicle","Nrf1_Flox","SD","FV_SD"
"NRF_24","10290_CT_NSD","NRF_24",8.6,2.11,2.2,"CT","Tamoxifen","Cre_CTRL","CTRL","CT_NSD"
"NRF_25","10175_FT_SD","NRF_25",8.8,2.09,2,"FT","Tamoxifen","Nrf1_Flox","SD","FT_SD"
"NRF_26","10289_CT_NSD","NRF_26",8.9,2.1,2.21,"CT","Tamoxifen","Cre_CTRL","CTRL","CT_NSD"
"NRF_27","10160_FT_NSD","NRF_27",8.8,2.11,2.2,"FT","Tamoxifen","Nrf1_Flox","CTRL","FT_NSD"
"NRF_28","10288_CT_SD","NRF_28",8.9,2.09,2.01,"CT","Tamoxifen","Cre_CTRL","SD","CT_SD"
"NRF_29","10174_FV_SD","NRF_29",8.7,2.1,2.21,"FV","Vehicle","Nrf1_Flox","SD","FV_SD"
"NRF_30","10163_FV_NSD","NRF_30",8.6,2.12,2.17,"FV","Vehicle","Nrf1_Flox","CTRL","FV_NSD"
"NRF_31","10173_FV_SD","NRF_31",8.8,2.08,1.73,"FV","Vehicle","Nrf1_Flox","SD","FV_SD"
"NRF_32","10205_FT_SD","NRF_32",8.4,2.09,2.12,"FT","Tamoxifen","Nrf1_Flox","SD","FT_SD"
