Sample_geo_accession	Sample Title	condition	genotype	tissue
GSM3151467	05nsd_Cortex_Control	Control	BXD/TyJ 05	Cortex
GSM3151468	05sd_Cortex_SleepDeprived	Sleep Deprived	BXD/TyJ 05	Cortex
GSM3151469	100nsd_Cortex_Control	Control	BXD/RwwJ 100	Cortex
GSM3151470	100sd_Cortex_SleepDeprived	Sleep Deprived	BXD/RwwJ 100	Cortex
GSM3151471	101nsd_Cortex_Control	Control	BXD/RwwJ 101	Cortex
GSM3151472	101sd_Cortex_SleepDeprived	Sleep Deprived	BXD/RwwJ 101	Cortex
GSM3151473	103nsd_Cortex_Control	Control	BXD/RwwJ 73b (103)	Cortex
GSM3151474	103sd_Cortex_SleepDeprived	Sleep Deprived	BXD/RwwJ 73b (103)	Cortex
GSM3151475	29nsd_Cortex_Control	Control	BXD/TyJ 29	Cortex
GSM3151476	29sd_Cortex_SleepDeprived	Sleep Deprived	BXD/TyJ 29	Cortex
GSM3151477	29tnsd_Cortex_Control	Control	BXD/TyJ 29t	Cortex
GSM3151478	29tsd_Cortex_SleepDeprived	Sleep Deprived	BXD/TyJ 29t	Cortex
GSM3151479	32nsd_Cortex_Control	Control	BXD/TyJ 32	Cortex
GSM3151480	32sd_Cortex_SleepDeprived	Sleep Deprived	BXD/TyJ 32	Cortex
GSM3151481	43nsd_Cortex_Control	Control	BXD/RwwJ 43	Cortex
GSM3151482	43sd_Cortex_SleepDeprived	Sleep Deprived	BXD/RwwJ 43	Cortex
GSM3151483	44nsd_Cortex_Control	Control	BXD/RwwJ 44	Cortex
GSM3151484	44sd_Cortex_SleepDeprived	Sleep Deprived	BXD/RwwJ 44	Cortex
GSM3151485	45nsd_Cortex_Control	Control	BXD/RwwJ 45	Cortex
GSM3151486	45sd_Cortex_SleepDeprived	Sleep Deprived	BXD/RwwJ 45	Cortex
GSM3151487	48nsd_Cortex_Control	Control	BXD/RwwJ 48	Cortex
GSM3151488	48sd_Cortex_SleepDeprived	Sleep Deprived	BXD/RwwJ 48	Cortex
GSM3151489	49nsd_Cortex_Control	Control	BXD/RwwJ 49	Cortex
GSM3151490	49sd_Cortex_SleepDeprived	Sleep Deprived	BXD/RwwJ 49	Cortex
GSM3151491	50nsd_Cortex_Control	Control	BXD/RwwJ 50	Cortex
GSM3151492	50sd_Cortex_SleepDeprived	Sleep Deprived	BXD/RwwJ 50	Cortex
GSM3151493	51nsd_Cortex_Control	Control	BXD/RwwJ 51	Cortex
GSM3151494	51sd_Cortex_SleepDeprived	Sleep Deprived	BXD/RwwJ 51	Cortex
GSM3151495	55nsd_Cortex_Control	Control	BXD/RwwJ 55	Cortex
GSM3151496	55sd_Cortex_SleepDeprived	Sleep Deprived	BXD/RwwJ 55	Cortex
GSM3151497	56nsd_Cortex_Control	Control	BXD/RwwJ 56	Cortex
GSM3151498	56sd_Cortex_SleepDeprived	Sleep Deprived	BXD/RwwJ 56	Cortex
GSM3151499	61nsd_Cortex_Control	Control	BXD/RwwJ 61	Cortex
GSM3151500	61sd_Cortex_SleepDeprived	Sleep Deprived	BXD/RwwJ 61	Cortex
GSM3151501	64nsd_Cortex_Control	Control	BXD/RwwJ 64	Cortex
GSM3151502	64sd_Cortex_SleepDeprived	Sleep Deprived	BXD/RwwJ 64	Cortex
GSM3151503	65nsd_Cortex_Control	Control	BXD/RwwJ 65	Cortex
GSM3151504	65sd_Cortex_SleepDeprived	Sleep Deprived	BXD/RwwJ 65	Cortex
GSM3151505	66nsd_Cortex_Control	Control	BXD/RwwJ 66	Cortex
GSM3151506	66sd_Cortex_SleepDeprived	Sleep Deprived	BXD/RwwJ 66	Cortex
GSM3151507	67nsd_Cortex_Control	Control	BXD/RwwJ 67	Cortex
GSM3151508	67sd_Cortex_SleepDeprived	Sleep Deprived	BXD/RwwJ 67	Cortex
GSM3151509	70nsd_Cortex_Control	Control	BXD/RwwJ 70	Cortex
GSM3151510	70sd_Cortex_SleepDeprived	Sleep Deprived	BXD/RwwJ 70	Cortex
GSM3151511	71nsd_Cortex_Control	Control	BXD/RwwJ 71	Cortex
GSM3151512	71sd_Cortex_SleepDeprived	Sleep Deprived	BXD/RwwJ 71	Cortex
GSM3151513	73nsd_Cortex_Control	Control	BXD/RwwJ 73	Cortex
GSM3151514	73sd_Cortex_SleepDeprived	Sleep Deprived	BXD/RwwJ 73	Cortex
GSM3151515	75nsd_Cortex_Control	Control	BXD/RwwJ 75	Cortex
GSM3151516	75sd_Cortex_SleepDeprived	Sleep Deprived	BXD/RwwJ 75	Cortex
GSM3151517	79nsd_Cortex_Control	Control	BXD/RwwJ 79	Cortex
GSM3151518	79sd_Cortex_SleepDeprived	Sleep Deprived	BXD/RwwJ 79	Cortex
GSM3151519	81nsd_Cortex_Control	Control	BXD/RwwJ 81	Cortex
GSM3151520	81sd_Cortex_SleepDeprived	Sleep Deprived	BXD/RwwJ 81	Cortex
GSM3151521	83nsd_Cortex_Control	Control	BXD/RwwJ 83	Cortex
GSM3151522	83sd_Cortex_SleepDeprived	Sleep Deprived	BXD/RwwJ 83	Cortex
GSM3151523	84nsd_Cortex_Control	Control	BXD/RwwJ 84	Cortex
GSM3151524	84sd_Cortex_SleepDeprived	Sleep Deprived	BXD/RwwJ 84	Cortex
GSM3151525	85nsd_Cortex_Control	Control	BXD/RwwJ 85	Cortex
GSM3151526	85sd_Cortex_SleepDeprived	Sleep Deprived	BXD/RwwJ 85	Cortex
GSM3151527	87nsd_Cortex_Control	Control	BXD/RwwJ 87	Cortex
GSM3151528	87sd_Cortex_SleepDeprived	Sleep Deprived	BXD/RwwJ 87	Cortex
GSM3151529	89nsd_Cortex_Control	Control	BXD/RwwJ 89	Cortex
GSM3151530	89sd_Cortex_SleepDeprived	Sleep Deprived	BXD/RwwJ 89	Cortex
GSM3151531	90nsd_Cortex_Control	Control	BXD/RwwJ 90	Cortex
GSM3151532	90sd_Cortex_SleepDeprived	Sleep Deprived	BXD/RwwJ 90	Cortex
GSM3151533	95nsd_Cortex_Control	Control	BXD/RwwJ 95	Cortex
GSM3151534	95sd_Cortex_SleepDeprived	Sleep Deprived	BXD/RwwJ 95	Cortex
GSM3151535	96nsd_Cortex_Control	Control	BXD/RwwJ 48a (96)	Cortex
GSM3151536	96sd_Cortex_SleepDeprived	Sleep Deprived	BXD/RwwJ 48a (96)	Cortex
GSM3151537	97nsd_Cortex_Control	Control	BXD/RwwJ 65a (97)	Cortex
GSM3151538	97sd_Cortex_SleepDeprived	Sleep Deprived	BXD/RwwJ 65a (97)	Cortex
GSM3151539	98nsd_Cortex_Control	Control	BXD/RwwJ 98	Cortex
GSM3151540	98sd_Cortex_SleepDeprived	Sleep Deprived	BXD/RwwJ 98	Cortex
GSM3151541	B61nsd_Cortex_Control	Control	C57BL/6J	Cortex
GSM3151542	B61sd_Cortex_SleepDeprived	Sleep Deprived	C57BL/6J	Cortex
GSM3151543	B62nsd_Cortex_Control	Control	C57BL/6J	Cortex
GSM3151544	B62sd_Cortex_SleepDeprived	Sleep Deprived	C57BL/6J	Cortex
GSM3151545	BDnsd_Cortex_Control	Control	C57/BL/J x DBA/2J F1	Cortex
GSM3151546	BDsd_Cortex_SleepDeprived	Sleep Deprived	C57/BL/J x DBA/2J F1	Cortex
GSM3151547	DB1nsd_Cortex_Control	Control	DBA/2J	Cortex
GSM3151548	DB1sd_Cortex_SleepDeprived	Sleep Deprived	DBA/2J	Cortex
GSM3151549	DB2nsd_Cortex_Control	Control	DBA/2J	Cortex
GSM3151550	DB2sd_Cortex_SleepDeprived	Sleep Deprived	DBA/2J	Cortex
GSM3151551	DBnsd_Cortex_Control	Control	DBA/2J x C57/BL/J F1	Cortex
GSM3151552	DBsd_Cortex_SleepDeprived	Sleep Deprived	DBA/2J x C57/BL/J F1	Cortex
GSM3151553	L05nsd_Liver_Control	Control	BXD/TyJ 05	Liver
GSM3151554	L05sd_Liver_SleepDeprived	Sleep Deprived	BXD/TyJ 05	Liver
