filename.variablename	condition 	variable type	subtype 
BXDw24bsl.out.h1	bsl	state	distribution
BXDw24bsl.out.h2	bsl	state	distribution
BXDw24bsl.out.h3	bsl	state	distribution
BXDw24bsl.out.h4	bsl	state	distribution
BXDw24bsl.out.h5	bsl	state	distribution
BXDw24bsl.out.h6	bsl	state	distribution
BXDw24bsl.out.h7	bsl	state	distribution
BXDw24bsl.out.h8	bsl	state	distribution
BXDw24bsl.out.h9	bsl	state	distribution
BXDw24bsl.out.h10	bsl	state	distribution
BXDw24bsl.out.h11	bsl	state	distribution
BXDw24bsl.out.h12	bsl	state	distribution
BXDw24bsl.out.h13	bsl	state	distribution
BXDw24bsl.out.h14	bsl	state	distribution
BXDw24bsl.out.h15	bsl	state	distribution
BXDw24bsl.out.h16	bsl	state	distribution
BXDn24bsl.out.h1	bsl	state	distribution
BXDn24bsl.out.h2	bsl	state	distribution
BXDn24bsl.out.h3	bsl	state	distribution
BXDn24bsl.out.h4	bsl	state	distribution
BXDn24bsl.out.h5	bsl	state	distribution
BXDn24bsl.out.h6	bsl	state	distribution
BXDn24bsl.out.h7	bsl	state	distribution
BXDn24bsl.out.h8	bsl	state	distribution
BXDn24bsl.out.h9	bsl	state	distribution
BXDn24bsl.out.h10	bsl	state	distribution
BXDn24bsl.out.h11	bsl	state	distribution
BXDn24bsl.out.h12	bsl	state	distribution
BXDn24bsl.out.h13	bsl	state	distribution
BXDn24bsl.out.h14	bsl	state	distribution
BXDn24bsl.out.h15	bsl	state	distribution
BXDn24bsl.out.h16	bsl	state	distribution
BXDr24bsl.out.h1	bsl	state	distribution
BXDr24bsl.out.h2	bsl	state	distribution
BXDr24bsl.out.h3	bsl	state	distribution
BXDr24bsl.out.h4	bsl	state	distribution
BXDr24bsl.out.h5	bsl	state	distribution
BXDr24bsl.out.h6	bsl	state	distribution
BXDr24bsl.out.h7	bsl	state	distribution
BXDr24bsl.out.h8	bsl	state	distribution
BXDr24bsl.out.h9	bsl	state	distribution
BXDr24bsl.out.h10	bsl	state	distribution
BXDr24bsl.out.h11	bsl	state	distribution
BXDr24bsl.out.h12	bsl	state	distribution
BXDr24bsl.out.h13	bsl	state	distribution
BXDr24bsl.out.h14	bsl	state	distribution
BXDr24bsl.out.h15	bsl	state	distribution
BXDr24bsl.out.h16	bsl	state	distribution
BXDdel20m.out.ref	bsl	EEG	power
BXDdel20m.out.del	rec	EEG	power
BXDdel20m.out.so	rec	state	distribution
BXDvs1224bsl.wD.L	bsl	state	distribution
BXDvs1224bsl.nL.D	bsl	state	distribution
BXDvs1224bsl.rL.D	bsl	state	distribution
BXDvs1224bsl.w24	bsl	state	amount
BXDvs1224bsl.n24	bsl	state	amount
BXDvs1224bsl.r24	bsl	state	amount
BXDvs1224bsl.w12L	bsl	state	amount
BXDvs1224bsl.n12L	bsl	state	amount
BXDvs1224bsl.r12L	bsl	state	amount
BXDvs1224bsl.w12D	bsl	state	amount
BXDvs1224bsl.n12D	bsl	state	amount
BXDvs1224bsl.r12D	bsl	state	amount
actwak1224bsl.out.act24	bsl	activity	amount
actwak1224bsl.out.relact24	bsl	activity	amount
actwak1224bsl.out.act12L	bsl	activity	amount
actwak1224bsl.out.relact12L	bsl	activity	amount
actwak1224bsl.out.act12D	bsl	activity	amount
actwak1224bsl.out.relact12D	bsl	activity	amount
BXDvsREC.out.w2	rec	state	amount
BXDvsREC.out.w3	rec	state	amount
BXDvsREC.out.w4	rec	state	amount
BXDvsREC.out.w5	rec	state	amount
BXDvsREC.out.w3.4	rec	state	amount
BXDvsREC.out.w2.3.4	rec	state	amount
BXDvsREC.out.w2.3.4.5	rec	state	amount
BXDvsREC.out.n2	rec	state	amount
BXDvsREC.out.n3	rec	state	amount
BXDvsREC.out.n4	rec	state	amount
BXDvsREC.out.n5	rec	state	amount
BXDvsREC.out.n3.4	rec	state	amount
BXDvsREC.out.n2.3.4	rec	state	amount
BXDvsREC.out.n2.3.4.5	rec	state	amount
BXDvsREC.out.r2	rec	state	amount
BXDvsREC.out.r3	rec	state	amount
BXDvsREC.out.r4	rec	state	amount
BXDvsREC.out.r5	rec	state	amount
BXDvsREC.out.r3.4	rec	state	amount
BXDvsREC.out.r2.3.4	rec	state	amount
BXDvsREC.out.r2.3.4.5	rec	state	amount
BXDvsREC.out.w1	SD	state	amount
BXDvsREC.out.n1	SD	state	amount
BXDvsREC.out.r1	SD	state	amount
BXDvsRECdif.out.w2d	rec vs bsl	state	amount
BXDvsRECdif.out.w3d	rec vs bsl	state	amount
BXDvsRECdif.out.w4d	rec vs bsl	state	amount
BXDvsRECdif.out.w5d	rec vs bsl	state	amount
