Scan motifs
>> output location: results/12-BXD_footprints/motifs

>> genome: mm10
>> pseudocounts: 1.0
>> fpr threshold: 0.0001

>> loading input files..
>>> BXD64_SD, 63182 regions
>>> BXD48_CTRL, 65777 regions
>>> BXD73_CTRL, 63939 regions
>>> BXD75_SD, 66545 regions
>>> 48a_SD, 67793 regions
>>> BXD101_CTRL, 62006 regions
>>> BXD51_SD, 63655 regions
>>> DBA_SD, 72512 regions
>>> C57Bl6_SD, 72120 regions
>>> BXD100_CTRL, 65211 regions
>>> BXD81_SD, 65187 regions
>>> BXD89_CTRL, 63935 regions
>>> BXD67_CTRL, 64744 regions
>>> BXD79_CTRL, 66888 regions
>>> BXD66_SD, 66295 regions
>>> BXD95_SD, 67412 regions
>>> DBA_CTRL, 71401 regions
>>> 73b_CTRL, 65730 regions
>>> BXD84_SD, 65080 regions
>>> BXD65_CTRL, 64935 regions
>>> BXD79_SD, 67496 regions
>>> BXD75_CTRL, 63456 regions
>>> BXD89_SD, 67631 regions
>>> 65a_SD, 64620 regions
>>> BXD71_SD, 66835 regions
>>> BXD90_SD, 66720 regions
>>> BXD71_CTRL, 64480 regions
>>> BXD49_SD, 65012 regions
>>> BXD65_SD, 65514 regions
>>> BXD64_CTRL, 63146 regions
>>> BXD90_CTRL, 64284 regions
>>> 73b_SD, 64538 regions
>>> BXD67_SD, 66595 regions
>>> 48a_CTRL, 62700 regions
>>> BXD70_SD, 66003 regions
>>> BXD55_CTRL, 62579 regions
>>> BXD83_SD, 64413 regions
>>> BXD49_CTRL, 62850 regions
>>> BXD85_SD, 65079 regions
>>> BXD43_SD, 68502 regions
>>> C57Bl6_CTRL, 71961 regions
>>> BXD51_CTRL, 63704 regions
>>> BXD50_CTRL, 62446 regions
>>> BXD81_CTRL, 63514 regions
>>> BXD85_CTRL, 63095 regions
>>> BXD48_SD, 62385 regions
>>> BXD83_CTRL, 61921 regions
>>> BXD45_CTRL, 65884 regions
>>> BXD56_SD, 62897 regions
>>> BXD70_CTRL, 65108 regions
>>> BXD73_SD, 64975 regions
>>> BXD101_SD, 65449 regions
>>> BXD66_CTRL, 62771 regions
>>> BXD43_CTRL, 62132 regions
>>> BXD95_CTRL, 65690 regions
>>> BXD61_SD, 67340 regions
>>> BXD100_SD, 68379 regions
>>> BXD45_SD, 64903 regions
>>> BXD44_SD, 65767 regions
>>> BXD50_SD, 66302 regions
>>> BXD55_SD, 67434 regions
>>> BXD56_CTRL, 66617 regions
>>> BXD44_CTRL, 64707 regions
>>> 65a_CTRL, 66740 regions
>>> BXD98_CTRL, 64081 regions
>>> BXD98_SD, 66547 regions
>>> BXD84_CTRL, 61551 regions
>>> BXD61_CTRL, 63162 regions
>>> BXD64_SD_sub1, 52627 regions
>>> BXD48_CTRL_sub1, 55681 regions
>>> BXD73_CTRL_sub1, 53948 regions
>>> BXD75_SD_sub1, 58152 regions
>>> 48a_SD_sub1, 58679 regions
>>> BXD101_CTRL_sub1, 52767 regions
>>> BXD51_SD_sub1, 53133 regions
>>> DBA_SD_sub1, 55383 regions
>>> C57Bl6_SD_sub1, 54997 regions
>>> BXD100_CTRL_sub1, 54648 regions
>>> BXD81_SD_sub1, 56111 regions
>>> BXD89_CTRL_sub1, 54661 regions
>>> BXD67_CTRL_sub1, 53936 regions
>>> BXD79_CTRL_sub1, 52332 regions
>>> BXD66_SD_sub1, 57869 regions
>>> BXD95_SD_sub1, 56970 regions
>>> DBA_CTRL_sub1, 51011 regions
>>> 73b_CTRL_sub1, 54948 regions
>>> BXD84_SD_sub1, 56614 regions
>>> BXD65_CTRL_sub1, 52988 regions
>>> BXD79_SD_sub1, 53941 regions
>>> BXD75_CTRL_sub1, 54056 regions
>>> BXD89_SD_sub1, 56355 regions
>>> 65a_SD_sub1, 53019 regions
>>> BXD71_SD_sub1, 55200 regions
>>> BXD90_SD_sub1, 56023 regions
>>> BXD71_CTRL_sub1, 53899 regions
>>> BXD49_SD_sub1, 56127 regions
>>> BXD65_SD_sub1, 55991 regions
>>> BXD64_CTRL_sub1, 50391 regions
>>> BXD90_CTRL_sub1, 54397 regions
>>> 73b_SD_sub1, 54092 regions
>>> BXD67_SD_sub1, 57483 regions
>>> 48a_CTRL_sub1, 50486 regions
>>> BXD70_SD_sub1, 55416 regions
>>> BXD55_CTRL_sub1, 52155 regions
>>> BXD83_SD_sub1, 54935 regions
>>> BXD49_CTRL_sub1, 53024 regions
>>> BXD85_SD_sub1, 54613 regions
>>> BXD43_SD_sub1, 55723 regions
>>> C57Bl6_CTRL_sub1, 50181 regions
>>> BXD51_CTRL_sub1, 53481 regions
>>> BXD50_CTRL_sub1, 50630 regions
>>> BXD81_CTRL_sub1, 54368 regions
>>> BXD85_CTRL_sub1, 51033 regions
>>> BXD48_SD_sub1, 53582 regions
>>> BXD83_CTRL_sub1, 49529 regions
>>> BXD45_CTRL_sub1, 50839 regions
>>> BXD56_SD_sub1, 56705 regions
>>> BXD70_CTRL_sub1, 54619 regions
>>> BXD73_SD_sub1, 53895 regions
>>> BXD101_SD_sub1, 54871 regions
>>> BXD66_CTRL_sub1, 53911 regions
>>> BXD43_CTRL_sub1, 52475 regions
>>> BXD95_CTRL_sub1, 54426 regions
>>> BXD61_SD_sub1, 56456 regions
>>> BXD100_SD_sub1, 56120 regions
>>> BXD45_SD_sub1, 52886 regions
>>> BXD44_SD_sub1, 52711 regions
>>> BXD50_SD_sub1, 55443 regions
>>> BXD55_SD_sub1, 56387 regions
>>> BXD56_CTRL_sub1, 52872 regions
>>> BXD44_CTRL_sub1, 51174 regions
>>> 65a_CTRL_sub1, 52963 regions
>>> BXD98_CTRL_sub1, 48024 regions
>>> BXD98_SD_sub1, 52838 regions
>>> BXD84_CTRL_sub1, 51880 regions
>>> BXD61_CTRL_sub1, 52668 regions
>>> BXD64_SD_sub2, 47497 regions
>>> BXD48_CTRL_sub2, 51335 regions
>>> BXD73_CTRL_sub2, 48870 regions
>>> BXD75_SD_sub2, 54419 regions
>>> 48a_SD_sub2, 54420 regions
>>> BXD101_CTRL_sub2, 47569 regions
>>> BXD51_SD_sub2, 47973 regions
>>> DBA_SD_sub2, 50026 regions
>>> C57Bl6_SD_sub2, 50547 regions
>>> BXD100_CTRL_sub2, 50212 regions
>>> BXD81_SD_sub2, 52308 regions
>>> BXD89_CTRL_sub2, 50085 regions
>>> BXD67_CTRL_sub2, 49237 regions
>>> BXD79_CTRL_sub2, 47971 regions
>>> BXD66_SD_sub2, 54108 regions
>>> BXD95_SD_sub2, 52599 regions
>>> DBA_CTRL_sub2, 45861 regions
>>> 73b_CTRL_sub2, 50218 regions
>>> BXD84_SD_sub2, 51780 regions
>>> BXD65_CTRL_sub2, 48051 regions
>>> BXD79_SD_sub2, 50295 regions
>>> BXD75_CTRL_sub2, 48990 regions
>>> BXD89_SD_sub2, 51550 regions
>>> 65a_SD_sub2, 48125 regions
>>> BXD71_SD_sub2, 50608 regions
>>> BXD90_SD_sub2, 50945 regions
>>> BXD71_CTRL_sub2, 49564 regions
>>> BXD49_SD_sub2, 51524 regions
>>> BXD65_SD_sub2, 51401 regions
>>> BXD64_CTRL_sub2, 45453 regions
>>> BXD90_CTRL_sub2, 49790 regions
>>> 73b_SD_sub2, 49435 regions
>>> BXD67_SD_sub2, 53087 regions
>>> 48a_CTRL_sub2, 45015 regions
>>> BXD70_SD_sub2, 51092 regions
>>> BXD55_CTRL_sub2, 46773 regions
>>> BXD83_SD_sub2, 50293 regions
>>> BXD49_CTRL_sub2, 48001 regions
>>> BXD85_SD_sub2, 49609 regions
>>> BXD43_SD_sub2, 51011 regions
>>> C57Bl6_CTRL_sub2, 45136 regions
>>> BXD51_CTRL_sub2, 48607 regions
>>> BXD50_CTRL_sub2, 45543 regions
>>> BXD81_CTRL_sub2, 49885 regions
>>> BXD85_CTRL_sub2, 45875 regions
>>> BXD48_SD_sub2, 48739 regions
>>> BXD83_CTRL_sub2, 44375 regions
>>> BXD45_CTRL_sub2, 45673 regions
>>> BXD56_SD_sub2, 53622 regions
>>> BXD70_CTRL_sub2, 49911 regions
>>> BXD73_SD_sub2, 48954 regions
>>> BXD101_SD_sub2, 50361 regions
>>> BXD66_CTRL_sub2, 48977 regions
>>> BXD43_CTRL_sub2, 47522 regions
>>> BXD95_CTRL_sub2, 49980 regions
>>> BXD61_SD_sub2, 52190 regions
>>> BXD100_SD_sub2, 51241 regions
>>> BXD45_SD_sub2, 47524 regions
>>> BXD44_SD_sub2, 47207 regions
>>> BXD50_SD_sub2, 50397 regions
>>> BXD55_SD_sub2, 51523 regions
>>> BXD56_CTRL_sub2, 48119 regions
>>> BXD44_CTRL_sub2, 45684 regions
>>> 65a_CTRL_sub2, 49598 regions
>>> BXD98_CTRL_sub2, 42847 regions
>>> BXD98_SD_sub2, 47967 regions
>>> BXD84_CTRL_sub2, 47387 regions
>>> BXD61_CTRL_sub2, 47930 regions

>> loading motif databases..
>>> jaspar_vertebrates

>> motifs loaded: 746

>> matching [BXD64_SD], 63182 regions... [19.108 seconds]
>> matching [BXD48_CTRL], 65777 regions... [17.120 seconds]
>> matching [BXD73_CTRL], 63939 regions... [16.674 seconds]
>> matching [BXD75_SD], 66545 regions... [17.311 seconds]
>> matching [48a_SD], 67793 regions... [17.598 seconds]
>> matching [BXD101_CTRL], 62006 regions... [16.201 seconds]
>> matching [BXD51_SD], 63655 regions... [16.611 seconds]
>> matching [DBA_SD], 72512 regions... [18.949 seconds]
>> matching [C57Bl6_SD], 72120 regions... [18.908 seconds]
>> matching [BXD100_CTRL], 65211 regions... [16.901 seconds]
>> matching [BXD81_SD], 65187 regions... [16.904 seconds]
>> matching [BXD89_CTRL], 63935 regions... [16.611 seconds]
>> matching [BXD67_CTRL], 64744 regions... [16.882 seconds]
>> matching [BXD79_CTRL], 66888 regions... [17.444 seconds]
>> matching [BXD66_SD], 66295 regions... [17.230 seconds]
>> matching [BXD95_SD], 67412 regions... [17.622 seconds]
